Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Effective Month,Effective Year,Current Month,Current Year,Associated with Combined Heat and Power System,Sector Name,Sector,Previously Canceled,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?
6455,"Duke Energy Florida, LLC",61807,Hamilton Solar Power Plant,FL,Hamilton,PV1,Solar Photovoltaic,PV,,S,X,X,,,74.9, ,74.9,74.9,L,12,2018,12,2018,N,Electric Utility,1,N,SUN,,,,,, ,,,,,,,,,,,,
61435,"EGP Stillwater Solar PV II, LLC",61809,"EGP Stillwater Solar PV II, LLC",NV,Churchill,STWII,Solar Photovoltaic,PV,,W,X,X,,,20.0, ,20.0,20.0,U,5,2018,6,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61060,Cypress Creek Renewables,61810,Chisum,TX,Lamar,GEN1,Solar Photovoltaic,PV,,S,X,X,,,10.0, ,10.0,10.0,L,10,2018,10,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61436,"Titan Solar, LLC",61811,Titan Solar,CO,Arapahoe,PCEC,Solar Photovoltaic,PV,,S,X,X,,,50.0, ,50.0,50.0,T,12,2018,12,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61430,"Summit Lake Wind, LLC",61812,Summit Lake Wind Energy Project,MI,Baraga,1,Onshore Wind Turbine,WT,,S,X,X,,,120.0, ,120.0,120.0,P,1,2020,1,2020,N,IPP Non-CHP,2,N,WND,,,,,,49,,,,,,,,,,,,
57389,IKEA Property Inc,61816,IKEA Oak Creek Rooftop PV System,WI,Milwaukee,PV1,Solar Photovoltaic,PV,,S,X,X,,,1.5, ,1.5,1.5,U,6,2018,6,2018,N,Commercial Non-CHP,4,N,SUN,,,,,, ,,,,,,,,,,,,
61187,"DG Minnesota CSG, LLC",61817,Big Lake Project,MN,Sherburne,BIGLA,Solar Photovoltaic,PV,,S,X,X,,,5.0, ,5.0,5.0,T,6,2018,6,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
60370,"DG AMP Solar, LLC",61818,DG AMP Solar Brewster,OH,Stark,AMPBR,Solar Photovoltaic,PV,,S,X,X,,,1.9, ,1.9,1.9,L,12,2018,12,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61429,"Harvest Wind Energy, LLC",61823,Harvest Wind Energy Project,IN,Cass,1,Onshore Wind Turbine,WT,,S,X,X,,,600.0, ,600.0,600.0,P,1,2020,1,2020,N,IPP Non-CHP,2,N,WND,,,,,,143,,,,,,,,,,,,
61443,"Solar Star RPUWD, LLC",61824,RPUWD Scheuer Well Solar PV Project,CA,San Bernardino,RPU2,Solar Photovoltaic,PV,,W,X,X,,,3.0, ,3.0,3.0,T,6,2018,6,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61442,Dignity - Siena Campus,61825,Dignity - Siena Campus,NV,Clark,PV1,Solar Photovoltaic,PV,,S,X,X,,,1.4, ,1.4,1.4,T,5,2018,5,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61458,"Minco Wind IV, LLC",61836,"Minco Wind IV, LLC",OK,Garfield,MIV,Onshore Wind Turbine,WT,,S,X,X,,,130.0, ,130.0,130.0,T,12,2018,12,2018,N,IPP Non-CHP,2,,WND,,,,,,52,,,,,,,,,,,,
61459,"Minco Wind V, LLC",61837,"Minco Wind V, LLC",OK,Garfield,MV,Onshore Wind Turbine,WT,,S,X,X,,,220.0, ,220.0,220.0,T,12,2018,12,2018,N,IPP Non-CHP,2,,WND,,,,,,88,,,,,,,,,,,,
61456,"Hope Farm Solar, LLC",61840,"Hope Farm Solar, LLC",RI,Providence,HOPE,Solar Photovoltaic,PV,,S,N,X,,,10.0, ,10.0,10.0,P,3,2019,3,2019,N,IPP Non-CHP,2,,SUN,,,,,, ,,,,,,,,,,,,
61455,"Scituate RI Solar, LLC",61841,"Scituate RI Solar, LLC",RI,Providence,SCITU,Solar Photovoltaic,PV,,S,N,X,,,10.0, ,10.0,10.0,P,12,2019,12,2019,N,IPP Non-CHP,2,,SUN,,,,,, ,,,,,,,,,,,,
61441,"Sun Farm VI, LLC",61842,"Sun Farm VI, LLC",NC,Perquimans,PV1,Solar Photovoltaic,PV,,S,X,X,,,5.0, ,4.8,4.8,P,9,2018,9,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
60584,Onyx Asset Services Group,61843,SeaWorld Aquatica,CA,San Diego,10276,Solar Photovoltaic,PV,,W,X,X,,,1.0, ,1.0,1.0,U,5,2018,5,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61465,Brush Solar Center,61844,Brush Solar Center,OR,Baker,BRUSH,Solar Photovoltaic,PV,,W,X,X,,,2.8, ,2.8,2.8,P,10,2019,10,2019,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61466,"Bakersfield Fuel Cell 1, LLC",61845,Bolthouse Farms Fuel Cell,CA,Kern,MM28,Other Natural Gas,FC,,S,X,X,,,2.5, ,2.5,2.5,P,7,2019,7,2019,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,,,
