Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Effective Month,Effective Year,Current Month,Current Year,Associated with Combined Heat and Power System,Sector Name,Sector,Previously Canceled,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?
15399,Avangrid Renewables LLC,61343,Karankawa Wind LLC,TX,San Patricio,WT1,Onshore Wind Turbine,WT,,S,X,X,,,200.0, ,200.0,200.0,P,12,2019,12,2019,N,IPP Non-CHP,2,N,WND,,,,,,100,,,,,,,,,,,,
15399,Avangrid Renewables LLC,61344,Otter Creek Wind Farm LLC,IL,LaSalle,WT1,Onshore Wind Turbine,WT,,S,X,X,,,129.0, ,129.0,129.0,P,12,2019,12,2019,N,IPP Non-CHP,2,N,WND,,,,,,52,,,,,,,,,,,,
60982,RE Maplewood LLC,61346,RE Maplewood,TX,Pecos,PV1,Solar Photovoltaic,PV,,S,X,X,,,250.0,1.000,250.0,250.0,P,10,2018,12,2020,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
60982,RE Maplewood LLC,61346,RE Maplewood,TX,Pecos,PV2,Solar Photovoltaic,PV,,S,X,X,,,250.0,1.000,250.0,250.0,P,10,2018,6,2021,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
60986,"Imperial Valley Solar 2, LLC",61353,Mount Signal Solar 2,CA,Imperial,IVS2,Solar Photovoltaic,PV,,S,X,X,,,153.5, ,153.5,153.5,P,11,2019,9,2019,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61001,"Hu Honua Bioenergy, LLC",61364,Hu Honua Bioenergy Facility,HI,Hawaii,HHB,Wood/Wood Waste Biomass,ST,,S,X,X,,,36.0,0.900,32.0,32.0,V,12,2019,12,2019,N,IPP Non-CHP,2,,WDS,OBL,,,,, ,,,N,,,,,,,Y,,Y
16609,San Diego Gas & Electric Co,61365,Fallbrook Energy Storage,CA,San Diego,FBES,Batteries,BA,,S,X,X,,,40.0,1.000,40.0,40.0,P,3,2021,3,2021,N,Electric Utility,1,N,MWH,,,,,, ,,,,,,,,,,,,
16609,San Diego Gas & Electric Co,61366,Top Gun Energy Storage,CA,San Diego,TGES,Batteries,BA,,S,X,X,,,30.0,1.000,30.0,30.0,P,12,2019,12,2019,N,Electric Utility,1,N,MWH,,,,,, ,,,,,,,,,,,N,
59380,"Enel Green Power NA, Inc.",61390,"Pomerado Energy Storage, LLC",CA,San Diego,PMRDO,Batteries,BA,,S,X,X,,,6.0, ,6.0,6.0,P,12,2021,12,2021,N,IPP Non-CHP,2,N,MWH,,,,,, ,,,,,,,,,,,,
61029,Upper Michigan Energy Resources Company,61391,A.J. Mihm Generating Station,MI,Baraga,M1,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,18.8,0.800,18.3,18.3,V,5,2019,3,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,N,N
